name,           code,           description,                            link
Tile,           0x00,           A doctype for json content,             https://github.com/ceramicnetwork/CIP/issues/56
CAIP-10 Link,   0x01,           Link blockchain accounts to DIDs,       https://github.com/ceramicnetwork/CIP/issues/15
